ID_ViThuoc,TenVietNam,TenGoiKhac,TenKhoaHoc,HoThucVat,CongDung,LieuDung,TinhVi,QuyKinh
324,Khiên ngưu,bìm bìm biếc,Pharbitis nil (L.) Choisy,Convolvulaceae (Bìm bìm),"Nhuận tràng, thông tiểu, trị giun.",2-3g (nhuận tràng); 4-8g (tẩy).,"Vị đắng, tính hàn, có độc.","Phế, Thận, Đại tràng."
325,Khoai lang,(Không có),Ipomoea batatas (L.) Lam.,Convolvulaceae (Bìm bìm),Nhuận tràng.,(Ăn).,"Vị ngọt, tính bình.",(Không ghi rõ)
326,Cây đại (Vỏ),(Không có),Plumeria rubra L. var. acutifolia,Apocynaceae (Trúc đào),"Nhuận tràng, tẩy, hạ sốt.",3-6g (nhuận tràng); 8-15g (tẩy).,"Vị đắng, tính mát, có độc.",(Không ghi rõ)
327,Mang tiêu,"phác tiêu, huyền minh phấn",(Natri sulfat),(Khoáng vật),"Tẩy mạnh, chữa táo bón, đau bụng.",10-15g/ngày.,"Vị mặn, đắng, tính hàn.","Vị, Đại tràng, Tam tiêu."
328,Ba đậu,thân mát,Croton tiglium L.,Euphorbiaceae (Thầu dầu),"Tẩy mạnh, chữa táo bón, thủy thũng.",0.01-0.05g.,"Vị cay, tính nóng, rất độc.","Vị, Đại tràng."
329,Thầu dầu (Dầu hạt),đu đủ tía,Ricinus communis L.,Euphorbiaceae (Thầu dầu),"Nhuận tràng, tẩy.",Dầu: 4-20g.,"Vị ngọt, cay, tính bình, có độc.",Đại tràng.
330,Chút chít,dương đề,Rumex wallichii Meisn.,Polygonaceae (Rau răm),"Nhuận tràng. Chữa hắc lào, ghẻ lở.",1-4g/ngày.,"Vị đắng, tính hàn.",(Không ghi rõ)
331,Đại hoàng,(Không có),Rheum officinale Baill.,Polygonaceae (Rau răm),"Nhuận tràng, tẩy. Chữa táo bón, vàng da.",0.5-2g (nhuận); 4-8g (tẩy).,"Vị đắng, tính hàn.","Tỳ, Vị, Can, Tâm bào, Đại tràng."
332,Lô hội,nha đam,Aloe vera L. var. chinensis,Liliaceae (Hành),"Tẩy, nhuận tràng. Chữa kinh bế, cam tích ở trẻ em.",1-2g/ngày.,"Vị đắng, tính hàn.","Can, Vị, Đại tràng."
333,Muồng trâu,(Không có),Cassia alata L.,Caesalpiniaceae (Vang),Nhuận tràng. Chữa hắc lào.,1-2 lá/ngày.,(Không ghi rõ),(Không ghi rõ)
334,Phan tả diệp,(Không có),Cassia angustifolia Vahl,Caesalpiniaceae (Vang),"Nhuận tràng, tẩy.",1-2g (nhuận); 3-6g (tẩy).,"Vị ngọt, đắng, tính hàn.",Đại tràng.
335,Thảo quyết minh,muồng ngủ,Cassia tora L.,Caesalpiniaceae (Vang),"Nhuận tràng. Chữa đau mắt, cao huyết áp, mất ngủ.",10-15g/ngày.,"Vị ngọt, đắng, tính hàn.","Can, Thận."
336,Vọng giang nam,"muồng hòe, đậu chiều",Cassia occidentalis L.,Caesalpiniaceae (Vang),"Lợi tiểu, nhuận tràng. Chữa ăn không tiêu.",5-10g/ngày.,(Không ghi rõ),(Không ghi rõ)
337,Rau mồng tơi,(Không có),Basella rubra L.,Basellaceae (Mồng tơi),Nhuận tràng.,(Ăn).,"Vị ngọt, chua, tính hàn.",(Không ghi rõ)
338,Thạch,rau câu,Gelidium amansii Kütz.,Gelidiaceae (Rau câu),Nhuận tràng.,(Ăn).,"Vị ngọt, tính hàn.",(Không ghi rõ)
339,Cây hoa phấn,(Không có),Mirabilis jalapa L.,Nyctaginaceae (Hoa phấn),"Nhuận tràng, tẩy (hạt).",2-3 hạt.,(Không ghi rõ),(Không ghi rõ)
340,Ba đậu tây,(Không có),Hura crepitans L.,Euphorbiaceae (Thầu dầu),Tẩy.,1 hạt.,Có độc.,(Không ghi rõ)
341,Đằng hoàng,(Không có),Garcinia hanburyi Hook.f.,Clusiaceae (Bứa),Tẩy mạnh.,0.05-0.2g.,Có độc.,(Không ghi rõ)
342,Đậu cọc rào,(Không có),Jatropha curcas L.,Euphorbiaceae (Thầu dầu),Tẩy.,3-5 hạt.,Có độc.,(Không ghi rõ)
343,Cây lai,(Không có),Aleurites moluccana (L.) Willd.,Euphorbiaceae (Thầu dầu),Tẩy.,1-2 hạt.,Có độc.,(Không ghi rõ)
344,Lộc mai,sòi,Stillingia sebifera (L.) Michx.,Euphorbiaceae (Thầu dầu),Tẩy.,(Không dùng).,Có độc.,(Không ghi rõ)
345,Me,(Không có),Tamarindus indica L.,Caesalpiniaceae (Vang),Nhuận tràng.,(Ăn).,Vị chua.,(Không ghi rõ)
346,Lạc (Dầu),đậu phụng,Arachis hypogaea L.,Papilionaceae (Cánh bướm),Nhuận tràng nhẹ.,30-60g dầu/ngày.,(Không ghi rõ),(Không ghi rõ)
347,Tục tùy tử,(Không có),Euphorbia lathyris L.,Euphorbiaceae (Thầu dầu),Tẩy.,0.1-0.2g.,"Vị cay, tính ôn, có độc.","Thận, Đại tràng."
348,Thanh long,(Không có),Hylocereus undatus (Haw.) Britt. & Rose,Cactaceae (Xương rồng),Nhuận tràng.,(Ăn).,(Không ghi rõ),(Không ghi rõ)
349,Cây khôi,(Không có),Ardisia sylvestris Pit.,Myrsinaceae (Đơn nem),Chữa đau dạ dày.,10-20g/ngày.,(Không ghi rõ),(Không ghi rõ)
350,Cây dạ cẩm,(Không có),Oldenlandia capitellata Kuntze,Rubiaceae (Cà phê),"Chữa đau dạ dày, loét miệng, loét lưỡi.",10-25g/ngày.,"Vị ngọt, hơi đắng, tính bình.",(Không ghi rõ)
351,Mẫu lệ,"vỏ hàu, vỏ sò",Ostrea sp.,(Nguồn gốc động vật),"Chữa đau dạ dày, nôn nước chua. An thần, chữa di tinh, mồ hôi trộm.",4-8g/ngày (dạng bột).,"Vị mặn, chát, tính hơi hàn.","Can, Thận."
352,Mai mực,ô tặc cốt,Sepia esculenta Hoyle,(Nguồn gốc động vật),"Chữa đau dạ dày, nôn nước chua, cầm máu.",4-8g/ngày (dạng bột).,"Vị mặn, tính ôn.","Can, Thận."
353,Thạch quyết minh,"cửu khổng, bào ngư",Haliotis sp.,(Nguồn gốc động vật),"Chữa đau dạ dày, đau mắt đỏ, mờ mắt.",15-30g/ngày (dạng thuốc sắc).,"Vị mặn, tính hàn.","Can, Phế, Thận."
354,Cải bắp,(Không có),Brassica oleracea L. var. capitata L.,Brassicaceae (Cải),Chữa loét dạ dày.,(Ép nước uống).,"Vị ngọt, tính hàn.",(Không ghi rõ)
355,Cẩu tích,"lông cu li, kim mao cẩu tích",Cibotium barometz (L.) J.Sm.,Dicksoniaceae (Kim mao),"Bổ can thận, mạnh gân xương. Chữa đau lưng, đau khớp, phong thấp. Lông vàng đắp cầm máu.",10-20g/ngày (sắc hoặc ngâm rượu).,"Vị đắng, ngọt, tính ôn.","Can, Thận."
356,Cốt toái bổ,(Không có),Drynaria roosii Nakaike,Polypodiaceae (Dương xỉ),"Bổ thận, chữa đau lưng, đau xương, ù tai, chảy máu chân răng.",6-12g/ngày.,"Vị đắng, tính ôn.","Can, Thận."
357,Dây đau xương,(Không có),Tinospora sinensis Merr.,Menispermaceae (Tiết dê),"Chữa tê thấp, đau xương, đau người.",12g/ngày.,"Vị đắng, tính mát.",(Không ghi rõ)
358,Cây hàm ếch,tam bạch thảo,Saururus chinensis (Lour.) Baill.,Saururaceae (Lá giấp),Chữa tê thấp.,12-24g/ngày.,"Vị ngọt, cay, tính hàn.",(Không ghi rõ)
359,Hy thiêm,"cỏ đĩ, cứt lợn",Siegesbeckia orientalis L.,Asteraceae (Cúc),"Chữa tê thấp, đau nhức xương, cao huyết áp.",6-12g/ngày.,"Vị đắng, tính hàn.","Can, Thận."
360,Cây sung,(Không có),Ficus racemosa L.,Moraceae (Dâu tằm),"Chữa tê thấp, đau lưng (dùng rễ).",20-30g rễ/ngày.,"Vị ngọt, chát, tính bình.",(Không ghi rõ)
361,Thiên niên kiện,(Không có),Homalomena occulta (Lour.) Schott,Araceae (Ráy),"Chữa tê thấp, đau nhức xương, giúp tiêu hóa.",6-12g/ngày.,"Vị đắng, cay, tính ôn.","Can, Thận."
362,Thổ phục linh,(Không có),Smilax glabra Roxb.,Liliaceae (Hành),"Chữa tê thấp, đau nhức xương, giải độc.",15-30g/ngày.,"Vị ngọt, nhạt, tính bình.","Can, Vị."
363,Cây xá xị,vù hương,Cinnamomum parthenoxylon (Jack) Meisn.,Lauraceae (Long não),"Chữa tê thấp, đau nhức.",2-4g gỗ/ngày.,(Không ghi rõ),(Không ghi rõ)
364,Tỳ giải,(Không có),Dioscorea tokoro Makino,Dioscoreaceae (Củ nâu),"Chữa tê thấp, đau lưng.",12-20g/ngày.,"Vị đắng, tính bình.","Can, Vị."
365,Cây vòi voi,(Không có),Heliotropium indicum L.,Boraginaceae (Vòi voi),"Chữa tê thấp, đau nhức, mụn nhọt.",Dùng ngoài giã đắp.,"Vị đắng, tính mát, có độc.",(Không ghi rõ)
366,Mật gấu,(Không có),Ursus sp.,(Nguồn gốc động vật),Chữa đau nhức do chấn thương.,1-2g/ngày (hòa rượu uống).,"Vị đắng, tính hàn.","Can, Đởm, Vị."
367,Chìa vôi,(Không có),Cissus modeccoides Planch.,Vitaceae (Nho),"Chữa đau nhức xương, tê thấp.",20-40g/ngày (dạng thuốc sắc).,"Vị đắng, tính mát.",(Không ghi rõ)
368,Củ cốt khí,(Không có),Polygonum cuspidatum Siebold & Zucc.,Polygonaceae (Rau răm),"Chữa tê thấp, đau nhức.",10-15g/ngày.,"Vị đắng, tính ấm.","Can, Đởm."
369,Độc hoạt,(Không có),Angelica pubescens Maxim.,Apiaceae (Hoa tán),"Chữa phong thấp, đau nhức.",6-12g/ngày.,"Vị cay, đắng, tính ôn.","Thận, Bàng quang."
370,Náng hoa trắng,"tỏi độc, văn châu lan",Crinum asiaticum L.,Amaryllidaceae (Thủy tiên),"Chữa đau nhức, bong gân.",Dùng ngoài.,Có độc.,(Không ghi rõ)
371,Trinh nữ hoàng cung,(Không có),Crinum latifolium L.,Amaryllidaceae (Thủy tiên),"Chữa u xơ tử cung, u xơ tuyến tiền liệt.",2-5 lá tươi/ngày.,(Không ghi rõ),(Không ghi rõ)
372,Phòng kỷ,hán phòng kỷ,Stephania tetrandra S.Moore,Menispermaceae (Tiết dê),"Chữa tê thấp, thủy thũng.",6-12g/ngày.,"Vị đắng, cay, tính hàn.","Bàng quang, Phế, Tỳ."
373,Phấn phòng kỷ,hán phòng kỷ,Stephania tetrandra S.Moore,Menispermaceae (Tiết dê),"Chữa tê thấp, thủy thũng, lợi tiểu.",6-12g/ngày.,"Vị đắng, cay, tính hàn.","Bàng quang, Phế, Tỳ."
374,Quảng phòng kỷ,(Không có),Aristolochia fangchi Wu,Aristolochiaceae (Mộc thông),Tương tự Phấn phòng kỷ.,4-8g/ngày.,(Tương tự Phấn phòng kỷ),(Tương tự Phấn phòng kỷ)
375,Mộc phòng kỷ,(Không có),Cocculus trilobus (Thunb.) DC.,Menispermaceae (Tiết dê),Tương tự Phấn phòng kỷ.,6-12g/ngày.,(Tương tự Phấn phòng kỷ),(Tương tự Phấn phòng kỷ)
376,Tấm duột,(Không có),Desmos cochinchinensis Lour.,Annonaceae (Na),Chữa tê thấp.,8-16g/ngày (rễ).,(Không ghi rõ),(Không ghi rõ)
377,Lá lốt,(Không có),Piper lolot C.DC.,Piperaceae (Hồ tiêu),"Chữa tê thấp, đau nhức xương, đầy hơi, nôn mửa, đau răng.",8-12g/ngày (lá khô).,"Vị cay, nồng, tính ấm.","Vị, Tỳ, Can, Mật."
378,Lấu,(Không có),Psychotria reevesii Wall,Rubiaceae (Cà phê),"Chữa tê thấp, đau lưng.",10-15g/ngày.,(Không ghi rõ),(Không ghi rõ)
379,Trứng cuốc,(Không có),Salacia chinensis L.,Celastraceae (Dây gối),"Chữa tê thấp, đau lưng.",10-20g/ngày.,(Không ghi rõ),(Không ghi rõ)
380,Châu thụ,(Không có),Gaultheria codonantha Airy Shaw,Ericaceae (Đỗ quyên),"Chữa tê thấp, đau nhức.",1-2g/ngày (dầu xoa bóp).,(Không ghi rõ),(Không ghi rõ)
381,Dây toàn,(Không có),Millettia reticulata Benth.,Papilionaceae (Cánh bướm),Chữa tê thấp.,10-20g/ngày.,(Không ghi rõ),(Không ghi rõ)
382,Cây đền,(Không có),Macaranga denticulata (Blume) Muell.Arg.,Euphorbiaceae (Thầu dầu),Chữa đau nhức.,10-15g/ngày.,(Không ghi rõ),(Không ghi rõ)
383,Gối hạc,(Không có),Leea rubra Blume ex Spreng,Leeaceae (Gối hạc),"Chữa tê thấp, đau lưng, mỏi gối.",15-20g/ngày (rễ).,"Vị đắng, ngọt, tính mát.",(Không ghi rõ)
384,Hoàng nàn,vỏ doãn,Strychnos wallichiana Steud. ex A.DC.,Loganiaceae (Mã tiền),"Chữa tê thấp, phong hủi, ghẻ lở, ung thư.",0.5-1g/ngày.,Rất độc.,(Không ghi rõ)
385,Hồi,(Không có),Illicium verum Hook.f.,Illiciaceae (Hồi),"Chữa đau bụng, nôn mửa, tê thấp, đau lưng, đau mình.",1-4g/ngày (quả).,"Vị cay, tính ôn.","Can, Thận, Tỳ, Vị."
386,Khoai tây,(Không có),Solanum tuberosum L.,Solanaceae (Cà),"Chữa đau bụng, nôn mửa do loét dạ dày, say tàu xe.",10-20g nước ép/ngày.,(Không ghi rõ),(Không ghi rõ)
387,Kim sương,(Không có),Limacia triandra (Colebr.) Diels,Menispermaceae (Tiết dê),Chữa đau nhức.,(Không rõ liều).,(Không ghi rõ),(Không ghi rõ)
388,Long não,(Không có),Cinnamomum camphora (L.) Presl,Lauraceae (Long não),"Chữa đau bụng, thổ tả. Dùng ngoài chữa đau nhức, tê thấp.",0.05-0.2g/ngày (uống).,"Vị cay, nóng, tính ấm.","Tâm, Tỳ."
389,Mã tiền,"củ chi, phiên mộc miết",Strychnos nux-vomica L.,Loganiaceae (Mã tiền),"Chữa tê thấp, đau nhức, bại liệt.",0.1-0.2g/ngày (hạt đã chế).,"Vị đắng, tính hàn, rất độc.","Can, Tỳ."
390,Mộc qua,(Không có),Chaenomeles lagenaria (Loisel.) Koidz.,Rosaceae (Hoa hồng),"Chữa tê thấp, co duỗi khó khăn, nôn mửa.",6-12g/ngày (quả).,"Vị chua, chát, tính ôn.","Can, Tỳ, Phế."
391,Vuốt hùm,(Không có),Caesalpinia bonduc (L.) Roxb.,Caesalpiniaceae (Vang),Chữa tê thấp.,4-6g/ngày (hạt).,(Không ghi rõ),(Không ghi rõ)
392,Bướm bạc,(Không có),Mussaenda pubescens Ait.f.,Rubiaceae (Cà phê),Chữa tê thấp.,"10-20g/ngày (rễ, thân).",(Không ghi rõ),(Không ghi rõ)
393,Chay,(Không có),Artocarpus tonkinensis A.Chev. ex Gagnep.,Moraceae (Dâu tằm),"Chữa đau lưng, mỏi gối.",20-40g/ngày (rễ).,(Không ghi rõ),(Không ghi rõ)
394,Rung rúc,(Không có),Pterospermum heterophyllum Hance,Sterculiaceae (Trôm),Chữa tê thấp.,20-30g/ngày (rễ).,(Không ghi rõ),(Không ghi rõ)
395,Giổi,(Không có),Talauma gioi A.Chev.,Magnoliaceae (Mộc lan),"Chữa tê thấp, đau nhức.",10-20g/ngày (vỏ thân).,(Không ghi rõ),(Không ghi rõ)
396,Chìa vôi (loại 2),(Không có),Cissus repens Lamk.,Vitaceae (Nho),"Chữa tê thấp, đau nhức.",10-20g/ngày (dây).,(Không ghi rõ),(Không ghi rõ)
397,Cây ban,(Không có),Clerodendron paniculatum L.,Verbenaceae (Cỏ roi ngựa),Chữa rắn cắn.,Dùng ngoài.,(Không ghi rõ),(Không ghi rõ)
398,Bời lời nhớt,(Không có),Litsea glutinosa (Lour.) C.B.Rob.,Lauraceae (Long não),"Chữa mụn nhọt, cầm máu.",Dùng ngoài.,(Không ghi rõ),(Không ghi rõ)
399,Bông báo,(Không có),Buddleja asiatica Lour.,Buddlejaceae (Bọ chó),"Chữa rắn cắn, mụn nhọt.",Dùng ngoài.,(Không ghi rõ),(Không ghi rõ)
400,Cây mỏ quạ,(Không có),Cudrania tricuspidata (Carr.) Bureau,Moraceae (Dâu tằm),"Chữa rắn cắn, mụn nhọt, ho.",10-20g/ngày.,(Không ghi rõ),(Không ghi rõ)
401,Cà dại hoa trắng,(Không có),Solanum torvum Sw.,Solanaceae (Cà),"Chữa rắn cắn, ong đốt.",Dùng ngoài.,(Không ghi rõ),(Không ghi rõ)
402,Bông ổi,(Không có),Lantana camara L.,Verbenaceae (Cỏ roi ngựa),"Chữa rắn cắn, mụn nhọt.",Dùng ngoài.,(Không ghi rõ),(Không ghi rõ)
403,Tơ mành,(Không có),Cuscuta hygrophilae Pearson,Cuscutaceae (Tơ hồng),"Chữa rắn cắn, mụn nhọt.",Dùng ngoài.,(Không ghi rõ),(Không ghi rõ)
404,Bát giác liên,(Không có),Dysosma chengii (S.Y.Hu) C.Y.Wu,Berberidaceae (Hoàng liên gai),"Chữa rắn cắn, ung thư.",(Có độc).,(Không ghi rõ),(Không ghi rõ)
405,Bông gạo,(Không có),Bombax ceiba L.,Bombacaceae (Gạo),"Chữa mụn nhọt, sưng tấy.",Dùng ngoài.,(Không ghi rõ),(Không ghi rõ)
406,Cà gai leo,(Không có),Solanum procumbens Lour.,Solanaceae (Cà),"Chữa rắn cắn, đau nhức xương.",10-20g/ngày.,(Không ghi rõ),(Không ghi rõ)
407,Rau răm,(Không có),Polygonum odoratum Lour.,Polygonaceae (Rau răm),"Chữa rắn cắn, mụn nhọt.",Dùng ngoài.,"Vị cay, tính ấm.",(Không ghi rõ)
408,Vòng vang,(Không có),Abelmoschus moschatus Medik.,Malvaceae (Bông),Chữa rắn cắn.,Dùng ngoài.,(Không ghi rõ),(Không ghi rõ)
409,Lá dong,(Không có),Phrynium parviflorum Roxb.,Marantaceae (Hoàng tinh),"Chữa rắn cắn, say rượu.",Dùng ngoài.,(Không ghi rõ),(Không ghi rõ)
410,Sơn từ cô,(Không có),Pleione bulbocodioides (Franch.) Rolfe,Orchidaceae (Lan),"Chữa rắn cắn, mụn nhọt.",3-6g/ngày.,"Vị ngọt, hơi cay, tính hàn.",(Không ghi rõ)
411,Phèn đen,(Không có),Phyllanthus reticulatus Poir.,Euphorbiaceae (Thầu dầu),"Chữa rắn cắn, lở loét.",10-15g/ngày.,(Không ghi rõ),(Không ghi rõ)
412,Ngò đồng,(Không có),Eryngium foetidum L.,Apiaceae (Hoa tán),"Chữa rắn cắn, mụn nhọt.",Dùng ngoài.,(Không ghi rõ),(Không ghi rõ)
413,Cỏ bạc đầu,(Không có),Kyllinga nemoralis (J.R.Forst.) Dandy,Cyperaceae (Cói),"Chữa rắn cắn, mụn nhọt.",Dùng ngoài.,(Không ghi rõ),(Không ghi rõ)
414,Đào lộn hột,(Không có),Anacardium occidentale L.,Anacardiaceae (Đào lộn hột),"Chữa rắn cắn, mụn nhọt.",Dùng ngoài.,(Không ghi rõ),(Không ghi rõ)
415,Xoan nhừ,(Không có),Glochidion eriocarpum Champ. ex Benth.,Euphorbiaceae (Thầu dầu),"Chữa rắn cắn, mụn nhọt.",Dùng ngoài.,(Không ghi rõ),(Không ghi rõ)
416,Bóng nước,(Không có),Impatiens balsamina L.,Balsaminaceae (Bóng nước),"Chữa rắn cắn, hóc xương.",Dùng ngoài.,(Không ghi rõ),(Không ghi rõ)
417,Cây mắm,(Không có),Avicennia marina (Forssk.) Vierh.,Verbenaceae (Cỏ roi ngựa),"Chữa rắn cắn, mụn nhọt.",Dùng ngoài.,(Không ghi rõ),(Không ghi rõ)
418,Rau tàu bay,(Không có),Gynura crepidioides Benth.,Asteraceae (Cúc),Chữa rắn cắn.,Dùng ngoài.,(Không ghi rõ),(Không ghi rõ)
419,Cây kim vàng,(Không có),Barleria lupulina Lindl.,Acanthaceae (Ô rô),Chữa rắn cắn.,Dùng ngoài.,(Không ghi rõ),(Không ghi rõ)
420,Cốc tinh thảo,(Không có),Eriocaulon sexangulare L.,Eriocaulaceae (Cốc tinh thảo),"Chữa đau mắt, nhức đầu, đau răng.",4-12g/ngày.,"Vị cay, ngọt, tính bình.","Can, Vị."
421,Mật mông hoa,(Không có),Buddleja officinalis Maxim.,Buddlejaceae (Bọ chó),"Chữa đau mắt đỏ, thong manh.",6-12g/ngày.,"Vị ngọt, tính hơi hàn.",Can.
422,Cúc áo,"nụ áo vàng, hoa cúc áo",Spilanthes acmella (L.) Murr.,Asteraceae (Cúc),"Chữa đau răng, viêm họng.",Dùng ngoài.,(Không ghi rõ),(Không ghi rõ)
423,Xương khô,(Không có),Euphorbia antiquorum L.,Euphorbiaceae (Thầu dầu),"Chữa sâu răng, đau răng.",Dùng ngoài.,Có độc.,(Không ghi rõ)
424,Xương rồng,(Không có),Opuntia dillenii (Ker Gawl.) Haw.,Cactaceae (Xương rồng),"Chữa đau răng, đau lưng.",Dùng ngoài.,(Không ghi rõ),(Không ghi rõ)
425,Tế tân,(Không có),Asarum sieboldii Miq.,Aristolochiaceae (Mộc thông),"Chữa đau răng, đau đầu, cảm mạo.",1-4g/ngày.,"Vị cay, tính ôn, có độc.","Tâm, Can, Phế, Thận."
426,Đơn chân chấu,(Không có),Peristrophe bivalvis (L.) Merr.,Acanthaceae (Ô rô),"Chữa đau nhức, mụn nhọt.",Dùng ngoài.,(Không ghi rõ),(Không ghi rõ)
427,Mía dò,(Không có),Costus speciosus (J.Koenig) Sm.,Zingiberaceae (Gừng),"Chữa đau tai, viêm tai.",Dùng ngoài.,(Không ghi rõ),(Không ghi rõ)
428,Xoài,(Không có),Mangifera indica L.,Anacardiaceae (Đào lộn hột),"Chữa viêm họng, ho, đau răng.",10-15g vỏ thân/ngày.,(Không ghi rõ),(Không ghi rõ)
429,Nhãn hương,(Không có),Clausena excavata Burm.f.,Rutaceae (Cam),"Chữa đau bụng, tiêu chảy.",10-15g/ngày.,(Không ghi rõ),(Không ghi rõ)
430,Tật lê,(Không có),Tribulus terrestris L.,Zygophyllaceae (Tật lê),"Chữa đau mắt, đau họng.",8-16g/ngày.,"Vị đắng, cay, tính ôn.","Can, Phế."
431,Ruồi,(Không có),Musca domestica L.,(Nguồn gốc động vật),Chữa lở loét.,Dùng ngoài.,(Không ghi rõ),(Không ghi rõ)
432,Củ gió,(Không có),Dioscorea persimilis Prain & Burkill,Dioscoreaceae (Củ nâu),"Chữa đau họng, ho.",Dùng ngoài.,(Không ghi rõ),(Không ghi rõ)
433,Sao đen,(Không có),Hopea odorata Roxb.,Dipterocarpaceae (Dầu),"Chữa sâu răng, viêm lợi.",Dùng ngoài.,(Không ghi rõ),(Không ghi rõ)
434,Tất bạt,(Không có),Piper longum L.,Piperaceae (Hồ tiêu),"Chữa đau răng, đau đầu.",1-3g/ngày.,"Vị cay, tính nóng.","Vị, Đại tràng."
435,Cây mướp sát,(Không có),Strophanthus divaricatus (Lour.) Hook. & Arn.,Apocynaceae (Trúc đào),Trợ tim.,(Có độc).,Có độc.,(Không ghi rõ)
436,Cây sừng dê,(Không có),Strophanthus hispidus DC.,Apocynaceae (Trúc đào),Trợ tim.,(Có độc).,Có độc.,(Không ghi rõ)
437,Cây thông thiên,(Không có),Thevetia peruviana (Pers.) K.Schum.,Apocynaceae (Trúc đào),Trợ tim.,(Có độc).,Có độc.,(Không ghi rõ)
438,Cây trúc đào,(Không có),Nerium oleander L.,Apocynaceae (Trúc đào),"Trợ tim, thông tiểu.",(Có độc).,Có độc.,(Không ghi rõ)
440,Hành biển,(Không có),Scilla maritima L.,Liliaceae (Hành),"Trợ tim, lợi tiểu, long đờm.",(Có độc).,Có độc.,(Không ghi rõ)
441,Bạc hà,(Không có),Mentha arvensis L.,Lamiaceae (Hoa môi),"Chữa cảm sốt, nhức đầu, sổ mũi, đau họng.",4-8g/ngày.,"Vị cay, tính mát.","Phế, Can."
442,Bạch chỉ,(Không có),Angelica dahurica (Fisch. ex Hoffm.) Benth. & Hook.f.,Apiaceae (Hoa tán),"Chữa cảm sốt, nhức đầu, đau răng.",6-12g/ngày.,"Vị cay, tính ôn.","Phế, Vị."
443,Cây cối xay,(Không có),Abutilon indicum (L.) Sweet,Malvaceae (Bông),"Chữa cảm sốt, đau đầu.",8-12g/ngày.,"Vị ngọt, tính bình.",(Không ghi rõ)
444,Cây cúc bách nhật,(Không có),Gomphrena globosa L.,Amaranthaceae (Giền),"Chữa sốt, hen suyễn.",10-15g/ngày.,(Không ghi rõ),(Không ghi rõ)
445,Cúc hoa,(Không có),Chrysanthemum indicum L.,Asteraceae (Cúc),"Chữa cảm sốt, nhức đầu, đau mắt đỏ, cao huyết áp.",8-16g/ngày.,"Vị ngọt, đắng, tính hơi hàn.","Phế, Can, Thận."
446,Đại bi,(Không có),Blumea balsamifera (L.) DC.,Asteraceae (Cúc),"Chữa cảm sốt, ho.",10-20g/ngày.,"Vị cay, đắng, tính ấm.","Phế, Can."
447,Đạm trúc diệp,(Không có),Lophatherum gracile Brongn.,Poaceae (Lúa),"Chữa sốt, khát nước, tiểu tiện khó.",10-20g/ngày.,"Vị ngọt, nhạt, tính hàn.","Tâm, Tiểu tràng."
448,Hành,(Không có),Allium fistulosum L.,Alliaceae (Hành),"Chữa cảm sốt, nhức đầu, sổ mũi.",5-10g/ngày.,"Vị cay, tính bình.","Phế, Vị."
449,Kinh giới,(Không có),Elsholtzia cristata Willd.,Lamiaceae (Hoa môi),"Chữa cảm sốt, nhức đầu, đau họng, mụn nhọt.",6-12g/ngày.,"Vị cay, tính ôn.","Phế, Can."
450,Dây ký ninh,(Không có),Tinospora crispa (L.) Miers ex Hook.f. & Thomson,Menispermaceae (Tiết dê),"Chữa sốt, sốt rét.",10-20g/ngày.,"Vị đắng, tính hàn.",(Không ghi rõ)
451,Ma hoàng,(Không có),Ephedra sinica Stapf,Ephedraceae (Ma hoàng),"Chữa cảm mạo, ho, hen suyễn, lợi tiểu.",4-12g/ngày .,"Vị cay, hơi đắng, tính ôn.","Phế, Bàng quang."
452,Màn kinh tử,(Không có),Vitex trifolia L.,Verbenaceae (Cỏ roi ngựa),"Chữa cảm sốt, nhức đầu, đau mắt.",6-12g/ngày .,"Vị đắng, cay, tính hơi hàn.","Can, Vị, Bàng quang."
453,Cỏ mần trầu,(Không có),Eleusine indica (L.) Gaertn.,Poaceae (Lúa),"Chữa sốt, lợi tiểu, cao huyết áp.",20-40g/ngày .,"Vị ngọt, nhạt, tính bình.",(Không ghi rõ)
454,Mẫu đơn bì,(Không có),Paeonia suffruticosa Andrews,Ranunculaceae (Mao Lương),"Chữa sốt, chảy máu cam, kinh nguyệt không đều.",6-12g/ngày .,"Vị cay, đắng, tính hơi hàn.","Tâm, Can, Thận."
455,Muống biển,(Không có),Ipomoea pes-caprae (L.) R.Br.,Convolvulaceae (Bìm bìm),"Chữa tê thấp, đau lưng.",10-20g/ngày .,"Vị cay, tính ấm.",(Không ghi rõ)
456,Na,(Không có),Annona squamosa L.,Annonaceae (Na),"Chữa sốt rét. Sát trùng, diệt chấy rận.",Lá: 20-30g/ngày .,(Không ghi rõ),(Không ghi rõ)
457,Ngưu bàng (Quả),(Không có),Arctium lappa L.,Asteraceae (Cúc),"Chữa cảm cúm, sởi, viêm họng.",6-12g/ngày .,"Vị cay, đắng, tính hàn.","Phế, Vị."
458,Nhân trần,(Không có),Adenosma caeruleum R.Br.,Scrophulariaceae (Hoa mõm chó),"Chữa sốt, vàng da, viêm gan.",10-20g/ngày .,"Vị đắng, cay, tính hơi hàn.","Can, Đởm, Tỳ, Vị."
459,Qua lâu nhân,(Không có),Trichosanthes kirilowii Maxim.,Cucurbitaceae (Bí),"Chữa ho có đờm, táo bón.",8-16g/ngày (hạt) .,"Vị ngọt, tính hàn.","Phế, Vị, Đại tràng."
